[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 142560ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='TermControl' proc=WindowsTerminal(5060)
[+ 142565ms] UIA      FocusChanged            ctl=Window name='⠐ Plan next steps' class='CASCADIA_HOSTING_WINDOW_CLASS' proc=WindowsTerminal(5060)
[+ 142570ms] WINEVENT SYSTEM_FOREGROUND      lat=  47ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 142572ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142574ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142575ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='⠐ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 142579ms] WINEVENT OBJECT_FOCUS           lat=  47ms hwnd=0x000905FE class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 142583ms] WINEVENT OBJECT_FOCUS           lat=  47ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 142587ms] WINEVENT OBJECT_FOCUS           lat=  47ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 142598ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='' proc=WindowsTerminal(5060)
[+ 142598ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 142604ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+ 142609ms] UIA-COM  Win.WindowOpened       ctl=Window name='Search' class='Windows.UI.Core.CoreWindow' proc=SearchHost(7044)
[+ 142612ms] UIA-COM  Win.WindowClosed       ctl=Window name='Search' class='Windows.UI.Core.CoreWindow' proc=SearchHost(7044)
[+ 142618ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142618ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142619ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142619ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142619ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 142724ms] UIA-COM  Win.WindowClosed       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 142724ms] ╚═ SC DETACHED (WindowClosed name='Start') — over 124ms: SC=0, LAYOUT=0, SCROLL=0.
[+ 143427ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 143494ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 143499ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+ 143500ms] WINEVENT OBJECT_FOCUS           lat=  78ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+ 143514ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 143519ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+ 143524ms] SC     #1   ChildAdded           +     9ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+ 143525ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 143525ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 144627ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 144973ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 144973ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145113ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='✳ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 145144ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 145158ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 145162ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000905FE class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 145166ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='✳ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 145170ms] UIA-COM  Win.WindowClosed       ctl=Window name='Search' class='Windows.UI.Core.CoreWindow' proc=SearchHost(7044)
[+ 145179ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='TermControl' proc=WindowsTerminal(5060)
[+ 145181ms] UIA      FocusChanged            ctl=Window name='✳ Plan next steps' class='CASCADIA_HOSTING_WINDOW_CLASS' proc=WindowsTerminal(5060)
[+ 145184ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145188ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145192ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145193ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145196ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145197ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='' proc=WindowsTerminal(5060)
[+ 145266ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145266ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145267ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 145324ms] UIA-COM  Win.WindowClosed       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+ 145325ms] ╚═ SC DETACHED (WindowClosed name='Start') — over 1810ms: SC=1, LAYOUT=0, SCROLL=0.
[+ 148636ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 150456ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 155133ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 155164ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 175166ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
